Radius [''],V_phi [km/s],V_phi error [km/s]
0.0,0.0,0.0
6.122448979591836,54.13529378549865,9.429491554344473
12.244897959183673,79.04112368368932,5.9025944581891014
18.36734693877551,113.91868757949888,6.7765534341283375
24.489795918367346,152.82671782270597,4.405761579031216
30.612244897959183,179.04120027993307,2.451803026129133
36.73469387755102,185.85338897139678,1.434130883601929
42.857142857142854,194.95301033779975,1.0387671182231928
48.97959183673469,196.94464657396952,0.9796364319572757
55.10204081632653,192.83553953104976,1.276359481473721
61.224489795918366,187.85018246887734,1.389990753734913
67.3469387755102,186.19109351603356,0.9868234849499422
73.46938775510203,187.940624320458,1.0342980688517724
79.59183673469387,185.67340773400315,1.1316659168601346
85.71428571428571,184.02412318356727,1.0223208521546083
91.83673469387755,179.7157599626446,1.2223656524179731
97.95918367346938,184.82360777453624,0.9207067944063654
104.08163265306122,187.88082515312846,0.9855581287712827
110.20408163265306,191.3054134938937,0.8828992849869423
116.3265306122449,190.01764572059076,1.3033300302089017
122.44897959183673,197.1551338331509,1.1621028333855044
128.57142857142856,204.50257046441288,1.2069387660034259
134.6938775510204,206.61583074640515,1.2381519913217842
140.81632653061223,206.2766141259938,1.3289821167301672
146.93877551020407,203.59765771669922,1.2583969935747232
153.0612244897959,203.78062341280344,1.0200520717006922
159.18367346938774,202.21242734361158,0.9659293137338527
165.30612244897958,199.56524335954668,1.0916537671930258
171.42857142857142,195.69731108808793,1.106737708217451
177.55102040816325,193.76932273644326,1.093837381716663
183.6734693877551,192.70297707603729,0.9282247342034454
189.79591836734693,187.5967033676502,0.857060468365835
195.91836734693877,184.2234969232283,0.9015145193236617
202.0408163265306,183.95359575577942,0.8460117717429159
208.16326530612244,184.63992841987815,0.9023137377615834
214.28571428571428,186.62039458880724,0.8388405819162457
220.40816326530611,186.93630071909737,0.8542248655585433
226.53061224489795,187.92892171812514,0.878985773637012
232.6530612244898,187.8840110961532,0.8788521450466237
238.77551020408163,186.72877521648263,0.9954217928317162
244.89795918367346,185.4790621719636,1.0282482958114292
251.0204081632653,183.9610144974967,0.9267144890821779
257.1428571428571,177.70626714429093,1.0954685798069261
263.265306122449,180.8769516052089,1.01713754818761
269.3877551020408,180.55377491184237,1.0741060162840552
275.51020408163265,184.8128911487427,0.9239101713776049
281.63265306122446,188.9577079151755,0.9090166243596178
287.7551020408163,190.5361188809527,0.8995159366659222
293.87755102040813,191.35450327373377,0.9970882126594041
300.0,192.51348564767082,0.9595206769019036
