Radius [''],V_phi [km/s],V_phi error [km/s]
0.0,0.0,0.0
6.122448979591836,85.11914298888254,10.695278368935222
12.244897959183673,104.36925516518326,12.80545956861558
18.36734693877551,161.19882608151937,13.752984769412597
24.489795918367346,178.88194362339885,7.870942427274561
30.612244897959183,167.53818163567303,4.507997519558967
36.73469387755102,171.73090640797972,3.3730033718694576
42.857142857142854,160.9108737223021,2.6288992569808807
48.97959183673469,165.34263523347144,2.4386295846521766
55.10204081632653,172.07945822490234,1.9890193160945298
61.224489795918366,173.3650776598069,2.3220787165444174
67.3469387755102,173.30500864251022,2.0545709518727713
73.46938775510203,172.65425708821613,1.791383091934219
79.59183673469387,170.03887230704692,1.9092851926863523
85.71428571428571,175.92040975063117,1.9601030471408387
91.83673469387755,173.3636854263462,2.077068671402644
97.95918367346938,169.06444064293413,2.282631054467961
104.08163265306122,165.45952438396867,2.1285894827440615
110.20408163265306,161.00353438487403,2.475791150893489
116.3265306122449,156.85181917587758,2.343057132414943
122.44897959183673,156.3001666523404,2.7084974942995754
128.57142857142856,168.02726688431832,2.55847478993865
134.6938775510204,165.45231948001367,2.808481554357902
140.81632653061223,169.65607509268963,2.5497622652340497
146.93877551020407,161.79004796836773,2.090457946468719
153.0612244897959,161.97867095117306,1.835160218316836
159.18367346938774,166.6821540948051,1.6974681216824141
165.30612244897958,170.00150583056407,1.5844598835578594
171.42857142857142,164.0170968946266,1.6625848103737868
177.55102040816325,161.67961277265576,1.508205718019474
183.6734693877551,169.1919168022422,1.4671009518558313
189.79591836734693,170.22970470733492,1.6263751557869128
195.91836734693877,175.20242920525578,1.7582060380341753
202.0408163265306,179.63581774204042,1.6219127947626812
208.16326530612244,183.97175483294828,1.7360083814966467
214.28571428571428,184.59704560844062,1.6587837773995657
220.40816326530611,180.80791044905268,1.8036929934081114
226.53061224489795,180.40501117072404,1.5004560772666675
232.6530612244898,178.384347966983,1.5409413170113668
238.77551020408163,181.80123826185635,1.617328021013467
244.89795918367346,178.14078749373203,1.6589393305257258
251.0204081632653,178.76962876108038,1.5093714194695513
257.1428571428571,177.48195421973176,1.544690059276802
263.265306122449,184.75396288116508,1.4561535544762905
269.3877551020408,188.77359144354307,1.428566644573374
275.51020408163265,189.3125195759261,1.4364269704824948
281.63265306122446,188.4523008197397,1.30591683946513
287.7551020408163,186.20190351657732,1.3580753062488116
293.87755102040813,183.7457387606758,1.4091655222358652
300.0,178.36508311799122,1.535911914186591
