Radius [''],V_phi [km/s],V_phi error [km/s]
0.0,0.0,0.0
6.122448979591836,25.378487105756818,8.431823929552941
12.244897959183673,76.70659185229414,4.989359713125311
18.36734693877551,95.37085406228715,8.25420121591001
24.489795918367346,134.1809913259174,6.127150302741973
30.612244897959183,161.06208950438318,3.575575245935069
36.73469387755102,164.9559042652561,2.13184546599201
42.857142857142854,170.82902465417325,1.5867798481484396
48.97959183673469,182.9986005866205,1.960738328295052
55.10204081632653,188.67080990730153,1.2559935554506871
61.224489795918366,193.2200329818929,1.4477316367980424
67.3469387755102,196.77569721426994,1.0793366837308105
73.46938775510203,196.6762296112077,1.0282259604660953
79.59183673469387,195.77677518702671,1.1556183986940654
85.71428571428571,196.39842883989175,1.1536272277774409
91.83673469387755,191.61359828510382,1.3778589816586426
97.95918367346938,194.07487509323482,1.1820241918215473
104.08163265306122,196.11388363523287,1.1413502170225092
110.20408163265306,194.58017861836242,1.3137287626569119
116.3265306122449,195.16722966480341,1.390901268306282
122.44897959183673,204.61144377858895,0.9846965475843981
128.57142857142856,212.57724610120846,1.2196399984787252
134.6938775510204,212.76498442582144,1.2377744272781483
140.81632653061223,209.49577507547718,1.2898346238155636
146.93877551020407,209.7551178639612,1.0825999501818662
153.0612244897959,206.0551057756762,1.0978501597035575
159.18367346938774,201.43933665269617,1.2858342357925912
165.30612244897958,199.34625554455997,1.2944568092880517
171.42857142857142,194.65549724197308,1.3817169474286972
177.55102040816325,190.05828437303745,1.3268819407227233
183.6734693877551,188.0893340062672,1.2600680546994683
189.79591836734693,182.36293396637765,1.186943623168002
195.91836734693877,181.56477345909403,1.143174465011774
202.0408163265306,178.47844456472507,1.1264532935391314
208.16326530612244,173.82679581415502,1.2289353400386305
214.28571428571428,176.39861369444552,1.1562958746858498
220.40816326530611,175.65989355888465,1.14969427736773
226.53061224489795,177.16217609084654,1.183794556456272
232.6530612244898,176.87298484771014,1.156764795475768
238.77551020408163,179.50481262675186,1.1881647485562408
244.89795918367346,176.49723022243617,1.2336763471865329
251.0204081632653,177.61339989515295,1.1680284302855295
257.1428571428571,169.68346047270973,1.1788533725034107
263.265306122449,172.3544095604137,1.189954310086201
269.3877551020408,177.0278010121076,1.1449772195374386
275.51020408163265,182.1490632572478,1.1016141132460824
281.63265306122446,187.28858353296488,1.1056717161347387
287.7551020408163,193.33960349732797,1.0252053014083597
293.87755102040813,196.13117976223296,1.0068976682746187
300.0,197.28531219361065,0.9965838504094566
