Radius [''],V_phi [km/s],V_phi error [km/s]
0.0,0.0,0.0
6.122448979591836,44.42999517502554,16.699527419855464
12.244897959183673,53.68334820998707,10.006201724196945
18.36734693877551,120.95809525333821,9.252780049764263
24.489795918367346,167.13706602065417,5.658962365333097
30.612244897959183,162.66068890632104,3.2261103519469256
36.73469387755102,170.58665639026907,2.053774505145847
42.857142857142854,162.11482340479802,1.452422638486188
48.97959183673469,162.9602075719173,1.8220658802462042
55.10204081632653,167.7811336599673,1.9048715597736239
61.224489795918366,170.42167640201492,1.8604685749423875
67.3469387755102,171.38255412478614,1.8132419914853728
73.46938775510203,172.79407185461142,1.5327936935864463
79.59183673469387,175.13071883180248,1.338267304352603
85.71428571428571,177.29914546866098,1.5744940431793562
91.83673469387755,174.85009472497381,1.728508118141783
97.95918367346938,175.16094797995171,1.6355058421360473
104.08163265306122,174.77101285054172,1.8005561865585036
110.20408163265306,173.20529646606008,1.9672152752880956
116.3265306122449,172.81447547632138,1.8189702951407363
122.44897959183673,176.65982325475008,2.057165181958208
128.57142857142856,173.58234666521645,2.204514779857922
134.6938775510204,169.27497607849585,2.120582969426823
140.81632653061223,166.70495879615515,1.831593326896862
146.93877551020407,161.82068845323985,1.6727673179871503
153.0612244897959,162.33066695519707,1.5078420815973828
159.18367346938774,160.5428608271705,1.5120056508204434
165.30612244897958,160.4898075974878,1.330684406851927
171.42857142857142,155.75478226227523,1.3103570304910457
177.55102040816325,156.32267051185121,1.1427058848792881
183.6734693877551,161.7880600934443,1.1095536242187694
189.79591836734693,165.36492701679074,1.2282658995080156
195.91836734693877,169.69433881236458,1.3801401723719222
202.0408163265306,174.40312302213897,1.3433275589445621
208.16326530612244,179.67125401080085,1.4917044524473204
214.28571428571428,178.81519257489248,1.6962200369957436
220.40816326530611,178.17761521563563,1.497962551799763
226.53061224489795,181.23085190660734,1.3861189933305975
232.6530612244898,181.86631094119434,1.4247060686478246
238.77551020408163,186.50698754834877,1.37764435066159
244.89795918367346,186.099983493582,1.4034612377152553
251.0204081632653,189.42190761927918,1.2659431818335554
257.1428571428571,191.49608776325377,1.2025106889928237
263.265306122449,196.98507388320098,1.1706558787778283
269.3877551020408,203.1171682730751,1.086424819498172
275.51020408163265,205.86580431211684,1.047526850820386
281.63265306122446,202.5751502837711,1.0716099434815012
287.7551020408163,202.59908368637454,1.0330318881439433
293.87755102040813,197.5431728267884,1.1425121619462053
300.0,194.4521902621477,1.1280582750534724
