Radius [''],V_phi [km/s],V_phi error [km/s]
0.0,0.0,0.0
6.122448979591836,58.73457913810313,7.463803461710676
12.244897959183673,90.02329080854722,7.785405978543322
18.36734693877551,117.67869163563464,9.55340942576924
24.489795918367346,161.32015534144892,6.176111801008615
30.612244897959183,179.5797074164891,3.490988070005656
36.73469387755102,170.0207859411902,2.4732094176465056
42.857142857142854,155.75306224559372,1.6891101316320778
48.97959183673469,145.2608886080401,2.3509196419839813
55.10204081632653,151.02783306828243,1.8515035083228446
61.224489795918366,160.37615839633204,1.539996935348702
67.3469387755102,164.01767087414026,1.989981126357934
73.46938775510203,174.49405184853032,1.2617827249711546
79.59183673469387,168.85874234584492,1.6357322094712683
85.71428571428571,167.73670581655654,1.7719947828975005
91.83673469387755,174.6897531782596,1.5913110999249913
97.95918367346938,181.4451563726353,1.4432909672188987
104.08163265306122,185.84434741116073,0.9720897926195297
110.20408163265306,183.8268808933203,1.0614278813716886
116.3265306122449,181.2952706277799,0.9456390759509679
122.44897959183673,179.7165280122062,0.84750226832428
128.57142857142856,178.46899074852135,1.0974114951818963
134.6938775510204,179.23750478478243,1.0266327494033909
140.81632653061223,176.13663276265626,1.204188769039469
146.93877551020407,175.22710003365341,1.229232515840346
153.0612244897959,175.96189806159657,1.1299967469111092
159.18367346938774,172.3692140549222,1.2298769971971721
165.30612244897958,173.15567266055083,1.218128251077711
171.42857142857142,172.10914915848738,1.2250346198525903
177.55102040816325,175.01121667493138,1.1850033075917348
183.6734693877551,176.01578607597762,1.2185355418467012
189.79591836734693,179.50796007423278,1.2472850336492947
195.91836734693877,184.90300786069474,1.1599718141233255
202.0408163265306,187.69175733853064,1.225013744941858
208.16326530612244,188.31035229798107,1.2700728463814874
214.28571428571428,184.4986737802547,1.3134306278454067
220.40816326530611,184.80664621994853,1.2855989179887826
226.53061224489795,189.2868890893654,1.163888250797319
232.6530612244898,192.36799486932694,1.2280982903493438
238.77551020408163,194.24039099536373,1.2572958710368167
244.89795918367346,192.49967671629443,1.2628284388947344
251.0204081632653,193.56760605263855,1.274266800252042
257.1428571428571,192.74314050637918,1.2411628791030171
263.265306122449,195.30899441728207,1.2292724364549452
269.3877551020408,198.92423627172957,1.231856139013621
275.51020408163265,200.34791618235678,1.3256748962903686
281.63265306122446,204.51099778136432,1.2990868993023532
287.7551020408163,205.0011879900622,1.2893192200281096
293.87755102040813,203.13113478361782,1.3436585785806634
300.0,202.27078579752472,1.397207160617763
